Symptom,Related terms
Chest Pain,"Hypertension;Cardiology;Coronary Restenosis;Silicosis;Median Arcuate Ligament Syndrome;Neovascularization, Physiologic;Gout;Glucose;Sinus of Valsalva;Hemoptysis;Cardiac Rehabilitation;Nitroglycerin;Rhabdomyosarcoma;Coronary Disease;Polymorphism, Single Nucleotide;Mediastinal Neoplasms;Bioprosthesis;Hyperlipidemias;Sleep Initiation and Maintenance Disorders;Echocardiography;Acetylcholine;Ventricular Dysfunction, Left;Cardiopulmonary Resuscitation;Myocarditis;Vasoconstriction;HSP72 Heat-Shock Proteins;Platelet Aggregation Inhibitors;Cardiomyopathies;Qualitative Research;Adrenal Gland Neoplasms;Ketamine;Nerve Block;COVID-19;Genetic Predisposition to Disease;Troponin T;Cardiovascular System;Platelet Aggregation;Acute Coronary Syndrome;Hypotension;Ultrasonography, Interventional;Positron Emission Tomography Computed Tomography;Plant Extracts;Autonomic Nervous System;Ambulances;Mediastinal Emphysema;Ischemic Postconditioning;Genetic Therapy;Myocardial Infarction;Heart Valve Prosthesis Implantation;Coronary Vessels;Non-ST Elevated Myocardial Infarction;Blood Platelets;Substance-Related Disorders;Aortic Valve Insufficiency;ST Elevation Myocardial Infarction;Coronary Angiography;Biomarkers;Coronary Artery Bypass;Cocaine-Related Disorders;Coronary Vasospasm;Hemangiosarcoma;Vasopressins;Coronary Artery Disease;Coronary Circulation;Esophageal Diseases;Electrocardiography;Acupuncture Therapy;Angina, Unstable;Plaque, Atherosclerotic;Cardiovascular Diseases;Heart Failure;Fractional Flow Reserve, Myocardial;Microvascular Angina;Vasodilator Agents;Coronary Sinus;Radiation Exposure;Ischemic Stroke;Diabetes Mellitus;Aspirin;Flow Cytometry;Algorithms;Ginkgo biloba;Anti-Inflammatory Agents, Non-Steroidal;Fabry Disease;Cognitive Behavioral Therapy;Atherosclerosis;Coronary Stenosis;Chest Pain;Positron-Emission Tomography;Thoracic Wall;Aortic Aneurysm;Heart Neoplasms;Percutaneous Coronary Intervention;Troponin;Recurrence;Pneumopericardium;Pneumothorax;Myocardial Ischemia;Occupational Exposure;Collateral Circulation;Gastroesophageal Reflux;Magnetic Resonance Imaging;Musculoskeletal Pain;Atrial Fibrillation;Heart Diseases;Hospital Mortality;Aneurysm, False;Vascular Endothelial Growth Factor A;Anxiety;Heart Valve Prosthesis;Predictive Value of Tests;Genome-Wide Association Study;Pregnancy Complications, Neoplastic;Genetic Vectors;Drugs, Chinese Herbal;Angina, Stable;Emergency Service, Hospital;Calcium;Machine Learning;Computed Tomography Angiography;Pheochromocytoma;Thymus Neoplasms;Brain Ischemia;Trihexosylceramides;Coronary Occlusion;Spouses;Mediastinal Diseases;Clopidogrel;Angina Pectoris;E-Selectin;Pericarditis"
Angina Pectoris,"Hypertension;Cardiology;Coronary Restenosis;Neovascularization, Physiologic;Gout;Sinus of Valsalva;Myocardial Perfusion Imaging;Hydroxymethylglutaryl-CoA Reductase Inhibitors;Cardiac Rehabilitation;Nitroglycerin;Coronary Disease;Erectile Dysfunction;Polymorphism, Single Nucleotide;Hyperlipidemias;Sleep Initiation and Maintenance Disorders;Heart Valve Diseases;Echocardiography;Asthma;Acetylcholine;Ventricular Dysfunction, Left;Cardiopulmonary Resuscitation;Registries;Myocarditis;Vasoconstriction;HSP72 Heat-Shock Proteins;Prostatic Hyperplasia;Neutrophils;Platelet Aggregation Inhibitors;Cardiomyopathies;Postmenopause;Vitamin B Complex;Genetic Predisposition to Disease;Dyslipidemias;Cardiovascular System;Platelet Aggregation;Acute Coronary Syndrome;Hypotension;Plant Extracts;Autonomic Nervous System;Epoprostenol;Ischemic Postconditioning;Genetic Therapy;Myocardial Infarction;Coronary Vessels;Non-ST Elevated Myocardial Infarction;Blood Platelets;Hyperlipoproteinemia Type II;ST Elevation Myocardial Infarction;Coronary Angiography;Biomarkers;Tomography, Optical Coherence;Coronary Artery Bypass;Coronary Vasospasm;Schizophrenia;Vasopressins;Coronary Artery Disease;Coronary Circulation;Electrocardiography;Coronary Aneurysm;Acupuncture Therapy;Angina, Unstable;Cognitive Dysfunction;Plaque, Atherosclerotic;Angina Pectoris, Variant;Overweight;MicroRNAs;Cardiovascular Diseases;Heart Failure;Fractional Flow Reserve, Myocardial;Microvascular Angina;Vasodilator Agents;Coronary Sinus;Hyperventilation;Ischemic Stroke;Diabetes Mellitus, Type 2;Diabetes Mellitus;Aspirin;Flow Cytometry;Ginkgo biloba;Fabry Disease;Atherosclerosis;Coronary Stenosis;Pulmonary Artery;Chest Pain;Positron-Emission Tomography;Inflammation Mediators;Aortic Aneurysm;Percutaneous Coronary Intervention;Recurrence;Myocardial Ischemia;Occupational Exposure;Collateral Circulation;Diet;RNA, Long Noncoding;Cardiovascular Agents;Atrial Fibrillation;Heart Diseases;Vascular Endothelial Growth Factor A;Predictive Value of Tests;Genome-Wide Association Study;Pulmonary Disease, Chronic Obstructive;Cholesterol, LDL;Genetic Vectors;Drugs, Chinese Herbal;Angina, Stable;Emergency Service, Hospital;Computed Tomography Angiography;Brain Ischemia;Trihexosylceramides;Coronary Occlusion;Clopidogrel;Hospitalization;Stroke;Angina Pectoris;E-Selectin"
"Angina, Unstable","Hypertension;Cardiology;Coronary Restenosis;Renal Insufficiency, Chronic;Ischemic Attack, Transient;Growth Differentiation Factor 15;Sinus of Valsalva;Hydroxymethylglutaryl-CoA Reductase Inhibitors;Coronary Disease;Erectile Dysfunction;Photoplethysmography;C-Reactive Protein;Heart Valve Diseases;Ventricular Dysfunction, Left;Cardiopulmonary Resuscitation;Myocarditis;Sleep Apnea, Obstructive;Gene Regulatory Networks;Hernia, Ventral;Atrioventricular Block;Cardiomyopathies;Ocular Hypertension;Heart Injuries;COVID-19;Nerve Block;Phenanthrenes;Cardiovascular System;Acute Coronary Syndrome;Carteolol;Plant Extracts;Epoprostenol;Blood Coagulation Disorders;Myocardial Infarction;Coronary Vessels;Non-ST Elevated Myocardial Infarction;Fatty Acids, Omega-3;Medicine;ST Elevation Myocardial Infarction;Coronary Angiography;Biomarkers;Urinary Bladder;Coronary Vasospasm;Coronary Artery Disease;Angina, Unstable;Plaque, Atherosclerotic;Angina Pectoris, Variant;Refugees;MicroRNAs;Cardiovascular Diseases;Heart Arrest;Heart Failure;Glaucoma;Diabetes Mellitus;Ischemic Stroke;Diabetes Mellitus, Type 2;Atherectomy, Coronary;Severity of Illness Index;Ginkgo biloba;Vascular Diseases;Atherosclerosis;Coronary Stenosis;Prediabetic State;Pulmonary Artery;Chest Pain;Percutaneous Coronary Intervention;Troponin;Myocardial Ischemia;Occupational Exposure;Frailty;RNA, Long Noncoding;Aneurysm, False;Pulmonary Disease, Chronic Obstructive;1-Alkyl-2-acetylglycerophosphocholine Esterase;Angina, Stable;Arterio-Arterial Fistula;Emergency Service, Hospital;Coronary Occlusion;Hospitalization;Diet, Mediterranean;Stroke;Moyamoya Disease"
"Angina Pectoris, Variant","Myocardial Ischemia;Hernia, Ventral;Health Status Disparities;Coronary Artery Disease;Cardiology;Coronary Circulation;Atrioventricular Block;Electrocardiography;Ocular Hypertension;Plaque, Atherosclerotic;Angina Pectoris, Variant;Refugees;Air Pollutants;Autonomic Nerve Block;COVID-19;Nerve Block;Microcirculation;Death, Sudden, Cardiac;Hydroxymethylglutaryl-CoA Reductase Inhibitors;Acute Coronary Syndrome;Carteolol;Coronary Disease;Glaucoma;Epoprostenol;Aspirin;Myocardial Infarction;Stents;Coronary Vessels;Vascular Diseases;Calcium Channel Blockers;Coronary Occlusion;Coronary Stenosis;Registries;Electrocardiography, Ambulatory;Myocarditis;Diet, Mediterranean;Practice Guidelines as Topic;Coronary Angiography;Particulate Matter;Smoking Cessation;Postoperative Complications;Defibrillators, Implantable;Coronary Vasospasm;Vasoconstriction;Pericarditis"
"Angina, Stable","Hypertension;Quality of Life;Coronary Restenosis;Electroacupuncture;Meridians;Hydroxymethylglutaryl-CoA Reductase Inhibitors;Cardiac Rehabilitation;Coronary Disease;Polymorphism, Single Nucleotide;Catheter Ablation;Hyperlipidemias;Long QT Syndrome;Sleep Initiation and Maintenance Disorders;Heart Valve Diseases;Ventricular Dysfunction, Left;Kidney Diseases;Registries;Insulin Resistance;Platelet Aggregation Inhibitors;Echocardiography, Three-Dimensional;Cardiomyopathies;Heart Rupture, Post-Infarction;Cold Temperature;Postmenopause;COVID-19;Vitamin B Complex;Liver Cirrhosis;Genetic Predisposition to Disease;Dyslipidemias;Platelet Aggregation;Acute Coronary Syndrome;Growth Differentiation Factor 1;Myocardial Infarction;Coronary Vessels;Non-ST Elevated Myocardial Infarction;Blood Platelets;ST Elevation Myocardial Infarction;Coronary Angiography;Tomography, Optical Coherence;Coronary Artery Bypass;Tension-Type Headache;Mitral Valve Insufficiency;Coronary Artery Disease;Fibroblast Growth Factors;Pulmonary Veins;Acupuncture Therapy;Angina, Unstable;Cognitive Dysfunction;Plaque, Atherosclerotic;Drug-Eluting Stents;Courage;Cardiovascular Diseases;Fractional Flow Reserve, Myocardial;Heart Failure;Coronary Sinus;Diabetes Mellitus, Type 2;Diabetes Mellitus;Aspirin;Flow Cytometry;Non-alcoholic Fatty Liver Disease;Vascular Diseases;Atherosclerosis;Coronary Stenosis;Angioplasty, Balloon, Coronary;Thrombosis;Percutaneous Coronary Intervention;Recurrence;Myocardial Ischemia;Occupational Exposure;Collateral Circulation;Physicians;Diet;RNA, Long Noncoding;Atrial Fibrillation;Predictive Value of Tests;Cholesterol, LDL;Gastrointestinal Microbiome;Drugs, Chinese Herbal;Neuropeptides;Angina, Stable;Salvia miltiorrhiza;Computed Tomography Angiography;Coronary Occlusion;Premature Birth;Clopidogrel;Stroke;E-Selectin"
Chronic Pain,"Renal Dialysis;Dementia;Randomized Controlled Trials as Topic;Surgical Mesh;Quality of Life;Exercise;Abdominal Pain;Spinal Cord;Societies, Medical;Ozone;Personal Autonomy;Postural Balance;Internet;Shoulder Pain;Feasibility Studies;Ganglia, Spinal;Medical Marijuana;Traction;Mental Disorders;Social Media;Moxibustion;Self-Management;Electric Stimulation Therapy;Opioid-Related Disorders;Mindfulness;Depression;Up-Regulation;Supervised Machine Learning;Brain Injuries, Traumatic;Catgut;Spinal Nerve Roots;Comorbidity;Absorbable Implants;Gene Regulatory Networks;Visceral Pain;Primary Health Care;Patient Reported Outcome Measures;Cancer Pain;Anesthetics, Local;Qualitative Research;Hernia, Inguinal;Neurosciences;COVID-19;Arthrocentesis;Exercise Therapy;Implantable Neurostimulators;Breast Neoplasms;Nurse Anesthetists;Burns;Musculoskeletal Manipulations;Disks Large Homolog 4 Protein;Behavior, Animal;Claustrum;Thoracotomy;Accidents, Traffic;Hemifacial Spasm;International Classification of Diseases;Students, Nursing;Imagery, Psychotherapy;Physician-Patient Relations;Bayes Theorem;Ion Channels;Motivational Interviewing;Autoimmune Diseases;Down-Regulation;Veterans;Low Back Pain;Pain Measurement;Neuralgia;Chronic Pain;General Practice;Cerebral Cortex;Rats, Wistar;Lung Neoplasms;Placebo Effect;Postural Orthostatic Tachycardia Syndrome;Patient Education as Topic;Alcoholism;Pelvic Inflammatory Disease;Disability Evaluation;MicroRNAs;Tapentadol;Complex Regional Pain Syndromes;Stress, Psychological;Network Meta-Analysis;Mice, Inbred C57BL;Prostatitis;Duloxetine Hydrochloride;Pain, Postoperative;Arthroplasty, Replacement, Knee;Laparoscopy;Pain Management;Motivation;Analgesics, Opioid;Epilepsy;Black or African American;Nerve Tissue Proteins;Adaptation, Psychological;Herniorrhaphy;Corticotropin-Releasing Hormone;Cannabinoids;Pain Threshold;Amygdala;Histone Demethylases;Mastectomy;Endometriosis;Fibromyalgia;Nocebo Effect;Severity of Illness Index;Kidney Failure, Chronic;Muscle Strength;Temporomandibular Joint Disorders;Anti-Inflammatory Agents, Non-Steroidal;CD8-Positive T-Lymphocytes;Prefrontal Cortex;Cognitive Behavioral Therapy;RNA, Circular;Neurosurgical Procedures;Disease Models, Animal;Lidocaine;Medicaid;Arthroplasty, Replacement, Hip;Phenotype;Acupuncture Points;Manipulation, Spinal;Pelvic Floor;Hydrotherapy;Septal Nuclei;Practice Patterns, Physicians';Stress Disorders, Post-Traumatic;Movement Disorders;Magnetic Resonance Imaging;Pelvic Pain;Musculoskeletal Pain;Healthcare Disparities;Orthopedic Procedures;Self Efficacy;Posture;RNA, Messenger;Obesity;Gabapentin;Arabs;Catastrophization;Cancer Survivors;Back Pain;Proprioception;Analgesics;Telemedicine;Neck Pain;Machine Learning;Ultrasonography;Rats, Sprague-Dawley;Lower Extremity;Psoas Muscles;Radiofrequency Ablation;Neurons;Telephone;Practice Guidelines as Topic;Mice, Knockout;Physical Therapy Modalities;Bullying;Multicenter Studies as Topic;Communication;Evidence-Based Medicine;Groin"
Earache,"Hearing Loss, Unilateral;Vision, Ocular;Tinnitus;Carcinoma, Adenoid Cystic;Intracranial Aneurysm;Diabetic Neuropathies;Glossopharyngeal Nerve Diseases;Respiratory Tract Infections;Giant Cell Arteritis;Meniere Disease;Neck;Orientia tsutsugamushi;Osteitis Deformans;Intracranial Hypotension;Torticollis;Stapes Surgery;Carcinoma, Squamous Cell;Diagnosis, Differential;Herpes Zoster Oticus;Spinal Cord Stimulation;Laryngeal Masks;Bell Palsy;Lymphoma;Deafness;Acetaminophen;Bone Diseases;Pharyngitis;COVID-19;Nerve Block;Otitis Externa;Fibrous Dysplasia of Bone;Ear Neoplasms;Aneurysm;Myocardial Infarction;Blastomycosis;Pulsed Radiofrequency Treatment;Facial Paralysis;Hyperemia;Arachnoid Cysts;Histiocytosis, Langerhans-Cell;Ear Diseases;Ear, Middle;Chronic Pain;Head and Neck Neoplasms;Carcinoma;Orthognathic Surgical Procedures;Mastoiditis;Foreign Bodies;Dizziness;Hematologic Neoplasms;Osteitis Fibrosa Cystica;Multiple Myeloma;Otitis Media, Suppurative;Eustachian Tube;Migraine Disorders;Mouth Neoplasms;Diabetes Mellitus, Type 2;Hearing Loss;Rare Diseases;Physical Examination;Vertigo;Sarcoma, Myeloid;Diabetes Insipidus;Temporomandibular Joint Disorders;Polyuria;Neurosurgical Procedures;Cholesteatoma;Tympanoplasty;Otitis Media;Tongue Neoplasms;Seizures, Febrile;Cholesteatoma, Middle Ear;Orthognathic Surgery;Cytodiagnosis;Vision, Monocular;Hearing Loss, Sensorineural;Ear, Inner;Headache Disorders;Asymptomatic Diseases;Otosclerosis;Microvascular Decompression Surgery;Chondromatosis;Scrub Typhus;Pain;Tympanic Membrane;Tympanic Membrane Perforation;Betacoronavirus;Carotid Artery Diseases;Nasal Obstruction;Leukemia;Sinusitis;Earache;Oropharyngeal Neoplasms;Autism Spectrum Disorder;Cervical Cord;Meningioma"
Eye Pain,"Orthokeratologic Procedures;Quality of Life;Adenoma, Pleomorphic;Keratitis;Scleritis;Dry Eye Syndromes;Nociception;Myositis;Trigeminal Nerve Diseases;Diagnostic Techniques, Ophthalmological;Giant Cell Arteritis;Keratoconus;Ophthalmic Solutions;Patient Compliance;Punctal Plugs;Myelodysplastic Syndromes;Benzeneacetamides;Exophthalmos;Acute Pain;Diagnosis, Differential;Retinal Detachment;Anesthesia, Local;Vaccines;Transcutaneous Electric Nerve Stimulation;Photorefractive Keratectomy;Exanthema;Deafness;Anesthetics, Local;Pain Perception;Blepharoplasty;COVID-19;Lacerations;Brain Stem Infarctions;Vitrectomy;Laser Therapy;Trigeminal Nerve;Eye Hemorrhage;Uveitis;Psychometrics;Palliative Care;Intraocular Pressure;Veterans;Corneal Transplantation;Pain Measurement;Neuralgia;Chronic Pain;Head and Neck Neoplasms;Anti-Infective Agents, Local;Carcinoma;Propoxycaine;Lens Subluxation;Cataract Extraction;Ophthalmology;Refractive Surgical Procedures;Migraine Disorders;Point-of-Care Testing;Cataract;Pain, Postoperative;Hydrocortisone;Diabetic Retinopathy;Glaucoma;Cornea;Intravitreal Injections;Epithelium, Corneal;Eye Evisceration;Corneal Injuries;Glaucoma, Angle-Closure;Scleral Diseases;COVID-19 Drug Treatment;Vision Disorders;Disease Models, Animal;Retrobulbar Hemorrhage;Conjunctivitis;COVID-19 Vaccines;Retinal Vein Occlusion;Lacrimal Apparatus;Eye Diseases;Magnetic Resonance Imaging;Neurology;Gabapentin;Aquaporin 4;Computers;Photophobia;Siblings;Corneal Diseases;Eye;Ophthalmologic Surgical Procedures;Optic Neuritis;Persian Gulf Syndrome;Corneal Dystrophies, Hereditary;Telemedicine;Pain;Corneal Ulcer;Emergency Service, Hospital;East Asian People;Myopia;Paraneoplastic Syndromes, Ocular;Ultrasonography;Rats, Sprague-Dawley;Glaucoma, Open-Angle;Glucocorticoids;Nervous System Diseases;Graft vs Host Disease;Eye Pain;Stroke;Analgesia;Keratomileusis, Laser In Situ;Sjogren's Syndrome"
Facial Pain,"Randomized Controlled Trials as Topic;Antineoplastic Agents;Quality of Life;Acupressure;Periapical Periodontitis;Oxylipins;Cavernous Sinus;Antioxidants;Neurilemmoma;Botulinum Toxins, Type A;Spinal Puncture;Temporal Arteries;Thermography;Glossopharyngeal Nerve Diseases;Giant Cell Arteritis;Polymorphism, Single Nucleotide;Sleep Initiation and Maintenance Disorders;Multiple Sclerosis;Toothache;Athletic Tape;Flupenthixol;Burning Mouth Syndrome;Intracranial Hypotension;Tooth;Oral Ulcer;Hyperalgesia;Translations;Acute Pain;Radiosurgery;Dentin Sensitivity;Capsaicin;Periapical Abscess;Medically Unexplained Symptoms;Pulpitis;Cannabidiol;Periaqueductal Gray;Self Concept;Sleep Bruxism;COVID-19;Bruxism;Arthrocentesis;Cyclopentanes;Parents;Myofunctional Therapy;Oxidative Stress;Military Personnel;Hemifacial Spasm;Dental Enamel Hypoplasia;Trigeminal Neuralgia;Dental Caries;Saliva;Oral Health;Maxillary Sinus;Cryotherapy;Psychometrics;Low Back Pain;Pain Measurement;Neuralgia;Chronic Pain;Self Report;Head and Neck Neoplasms;Biomarkers;Range of Motion, Articular;Tension-Type Headache;Rhinoplasty;Calcitonin Gene-Related Peptide;Mendelian Randomization Analysis;Neuroinflammatory Diseases;Trismus;Hyaluronic Acid;Angioedema;Platelet-Rich Plasma;Serotonin Plasma Membrane Transport Proteins;Anti-Bacterial Agents;Migraine Disorders;Attention Deficit Disorder with Hyperactivity;Occlusal Splints;Stress, Psychological;Network Meta-Analysis;Trigeminal Ganglion;Formaldehyde;Hydrocortisone;Analgesics, Opioid;Sleep Quality;Diabetes Mellitus;Altitude;Arthritis, Rheumatoid;Pain Threshold;Polycystic Ovary Syndrome;Olfaction Disorders;Fibromyalgia;Hippocampus;Temporomandibular Joint Disorders;Low-Level Light Therapy;Rhinosinusitis;Cranial Nerve Neoplasms;Blood Patch, Epidural;Acetates;Neurofibromatoses;Ossification, Heterotopic;COVID-19 Vaccines;Periodontal Diseases;Anesthesia, Dental;Voice Disorders;Stress Disorders, Post-Traumatic;Musculoskeletal Pain;Hyperbaric Oxygenation;Salivary Proteins and Peptides;Mastication;Headache;Central Nervous System Stimulants;Malocclusion;Masseter Muscle;Microvascular Decompression Surgery;Deglutition Disorders;Arthritis;Psychological Tests;Arthritis, Juvenile;Paranasal Sinus Diseases;Facial Pain;Calcium Channels;Arthroscopy;Drugs, Chinese Herbal;Cathepsin B;Neuropeptides;Ultrasonography;Rats, Sprague-Dawley;Radiofrequency Ablation;Nervous System Diseases;Sinusitis;Fluorescent Dyes;Dystonic Disorders"
Toothache,"Hypertension;Dementia;Randomized Controlled Trials as Topic;Quality of Life;Periapical Periodontitis;Models, Theoretical;Neoplasms;Medical Tourism;Social Media;Dental Pulp;Toothache;Asthma;Burning Mouth Syndrome;Pharynx;Tooth;Oral Ulcer;Interleukin-6;Acute Pain;Tooth Loss;Herpes Zoster;Vibration;Diving;Dentin Sensitivity;Periapical Abscess;Pulpitis;Cannabidiol;Intimate Partner Violence;Self Concept;Drug Hypersensitivity;Drug Prescriptions;Lymphoma;Acetaminophen;Cancer Pain;Barotrauma;Cold Temperature;COVID-19;Breast Neoplasms;Gingivitis;Alveolar Bone Loss;Pandemics;Parents;Mouth Diseases;Oils, Volatile;Military Personnel;Burns, Chemical;Dental Enamel Hypoplasia;Trigeminal Neuralgia;Dental Caries;Oral Health;Maxillary Sinus;Neuralgia;Chronic Pain;Self Report;Tobacco, Smokeless;Hospitals, General;Ethnicity;Dental Care;Health Knowledge, Attitudes, Practice;Serotonin Plasma Membrane Transport Proteins;Cognitive Dysfunction;Anti-Bacterial Agents;Attention Deficit Disorder with Hyperactivity;Tumor Necrosis Factor-alpha;Trigeminal Ganglion;Analgesics, Opioid;Diabetes Mellitus;Neurosurgeons;Altitude;Burkitt Lymphoma;Molar Hypomineralization;Polycystic Ovary Syndrome;Sarcoma, Myeloid;Temporomandibular Joint Disorders;Herpangina;Plasmacytoma;Periodontal Diseases;Marfan Syndrome;Neuralgia, Postherpetic;Anesthesia, Dental;Physicians;Leukemia, Myeloid, Acute;Hyperbaric Oxygenation;Food Assistance;Headache;Telemedicine;Facial Pain;Pain;Emergency Service, Hospital;Root Canal Therapy;Emergencies;Stroke;Munchausen Syndrome;Blood Glucose"
Flank Pain,"Hypertension;Renal Dialysis;Pyelonephritis;Hernia, Abdominal;Adenocarcinoma, Mucinous;Abdominal Wall;Tuberous Sclerosis;Hydronephrosis;Renal Insufficiency;Neoplasms;Celiac Plexus;Robotic Surgical Procedures;Kidney Pelvis;Fever;Kidney Diseases;Hematoma;Kidney Papillary Necrosis;Acute Pain;Thrombocytopenia;Herpes Zoster;Lithotripsy;Sarcoma;Diurnal Enuresis;Anuria;Enuresis;Venous Thrombosis;Postmenopause;Spinal Fusion;Sarcoma, Ewing;Point-of-Care Systems;COVID-19;Nephrostomy, Percutaneous;Decision Support Techniques;Ureteral Obstruction;Embolization, Therapeutic;Physical Exertion;Pericardial Effusion;Hematuria;Carcinoma, Renal Cell;Angiomyolipoma;Kidney;Medicine;Kidney Neoplasms;Chronic Pain;Renal Colic;Polycystic Kidney, Autosomal Dominant;Anastomosis, Surgical;Urinoma;Ureter;Renal Veins;Ureteroscopy;Urologic Diseases;Flank Pain;Soft Tissue Neoplasms;Enbucrilate;Pyelonephritis, Xanthogranulomatous;Endometriosis;Fibromyalgia;Intervertebral Disc Displacement;Infertility;Lower Urinary Tract Symptoms;Infarction;Vascular Diseases;Cough;Pancreatic Neoplasms;Pregnancy Complications;Kidney Diseases, Cystic;Thrombosis;Ureteral Diseases;Vena Cava, Inferior;Anemia;Iliac Vein;Sickle Cell Trait;Kidney Calculi;Practice Patterns, Physicians';Adrenal Gland Diseases;Autonomic Nerve Block;Tomography, X-Ray Computed;Leukemia, Myeloid, Acute;Leiomyoma;Erdheim-Chester Disease;Abdominal Injuries;Atrial Fibrillation;Renal Nutcracker Syndrome;Urinary Tract Infections;Biopsy;Acute Kidney Injury;Multicystic Dysplastic Kidney;Ureterolithiasis;Urolithiasis;SARS-CoV-2;Stents;Hyperoxaluria;Takayasu Arteritis;Hyperoxaluria, Primary;Ureteral Calculi;Lipoma;Myofascial Pain Syndromes;Cysts"
