Symptom,Disease
dry mucous membrane,Dubin-Johnson syndrome;anal squamous cell carcinoma;pharynx squamous cell carcinoma;trachea squamous cell carcinoma;prostate squamous cell carcinoma;Sjogren's syndrome;iritis;gastritis;esophagus squamous cell carcinoma;cornea squamous cell carcinoma;arthritis;esophagus squamous cell papilloma;Bjornstad syndrome;laryngeal squamous cell carcinoma;lip disease;celiac disease;tonsil squamous cell carcinoma;Sjogren-Larsson syndrome;COVID-19;hyperlysinemia;mastitis;diabetes mellitus;burning mouth syndrome;rhinitis;factitious disorder;stomach cancer;pancreatic squamous cell carcinoma;herpes simplex;esophageal adenosquamous carcinoma;lacrimal apparatus disease;sinusitis;hyperglycemia;Horner's syndrome;bacteriuria;cervical squamous cell carcinoma;hypercalcemia;dry eye syndrome;endometrial squamous cell carcinoma;conjunctivitis;squamous cell carcinoma;Caroli disease;glaucoma;breast squamous cell carcinoma;Stevens-Johnson syndrome;basaloid squamous cell carcinoma;Conn's syndrome;lichen disease;hypoglycemia;esophageal leukoplakia;esophageal basaloid squamous cell carcinoma;cleft lip;oral squamous cell carcinoma;supraglottis squamous cell carcinoma;eyelid disease;melanoma
endocarditis,polygenic disease;penile disease;myocarditis;bladder tuberculosis;urinary tract infection;splenic disease;ureter tuberculosis;ocular tuberculosis;kidney disease;aortic aneurysm;pica disease;listeriosis;aortic valve disease;botulism;heart aneurysm;substance-related disorder;lens disease;tricuspid valve disease;nocardiosis;tuberculosis;aortic valve stenosis;aortic dissection;mitral valve insufficiency;renal artery disease;oral tuberculosis;heart valve disease;vertebral artery insufficiency;pulmonary artery disease;bicuspid aortic valve disease;endocarditis;tricuspid valve insufficiency;coronary artery disease;renal tuberculosis;aortic valve disease 2;aortic valve disease 3;cardiac tamponade;Q fever;aortic valve insufficiency;pulmonary embolism;aortic valve disease 1;pulmonary valve insufficiency;tricuspid valve stenosis;pulmonary fibrosis
epididymitis,aortic atherosclerosis;otosclerosis 10;brucellosis;bronchitis;urinary tract infection;proctitis;scleritis;Castleman disease;Norrie disease;iritis;human cytomegalovirus infection;acrodermatitis;urolithiasis;lactocele;lymphogranuloma venereum;acute pancreatitis;arteriosclerosis;glomerulosclerosis;otosclerosis 5;tuberous sclerosis;vestibular disease;nephrosclerosis;Epstein-Barr virus infectious disease;testicular disease;tuberous sclerosis 1;COVID-19;Epstein-Barr virus hepatitis;diabetes mellitus;colonic disease;rhinitis;otosclerosis 3;polyarteritis nodosa;Cytomegalovirus retinitis;otosclerosis 4;cerebral atherosclerosis;Bartter disease;nose disease;atherosclerosis;tuberculosis;infectious mononucleosis;ileitis;spermatic cord torsion;peptic ulcer disease;lateral sclerosis;oral tuberculosis;vascular skin disease;pancreatitis;muscular disease;trypanosomiasis;epididymo-orchitis;otosclerosis 1;otosclerosis 2;epididymitis;hemosiderosis;Coats disease;tuberous sclerosis 2;renal tuberculosis;colitis;otosclerosis 8;otosclerosis;otosclerosis 7;osteosclerosis;parotitis;varicocele;otosclerosis 11;Coronavirus infectious disease;arteriolosclerosis;cerebritis;vascular disease;tracheitis;pyuria;cervicitis;orchitis
epididymorchitis,
focal seizure,Parkinson's disease 25;congenital disorder of glycosylation Ie;Vici syndrome;congenital disorder of glycosylation type IIo;Parkinson's disease;congenital disorder of glycosylation type IIk;congenital disorder of glycosylation Ic;COVID-19;Parkinsonism;congenital disorder of glycosylation Iq;congenital disorder of glycosylation In;Adie syndrome;Parkinson's disease 23;Parkinson's disease 4;status epilepticus;Parkinson's disease 8;pelvic inflammatory disease;congenital disorder of glycosylation It;secondary Parkinson disease;Parkinson's disease 19A;congenital disorder of glycosylation Ip;Danon disease;Plica syndrome;lipoma;congenital disorder of glycosylation type IIc;prion disease;congenital disorder of glycosylation type IIj;congenital disorder of glycosylation Ii;uterine inflammatory disease;Aicardi syndrome;congenital disorder of glycosylation Ig;congenital disorder of glycosylation type IIg;congenital disorder of glycosylation type IIh;congenital disorder of glycosylation type II;congenital disorder of glycosylation type IIq;congenital disorder of glycosylation Il;Parkinson's disease 6;Parkinson's disease 2;Parkinson's disease 3;congenital disorder of glycosylation Iw;bipolar disorder;congenital disorder of glycosylation type IIi;Aicardi-Goutieres syndrome;congenital disorder of glycosylation Ib;congenital disorder of glycosylation Ir;congenital disorder of glycosylation Id;congenital disorder of glycosylation Ia;Parkinson's disease 21;congenital disorder of glycosylation type IIe;congenital disorder of glycosylation type IIa;hallucinogen abuse;congenital disorder of glycosylation type IIb;congenital disorder of glycosylation type IId;Parkinson's disease 15;congenital disorder of glycosylation type I;congenital disorder of glycosylation type IIm;bipolar I disorder;congenital disorder of glycosylation Iy;Parkinson's disease 1;epilepsy;congenital disorder of glycosylation type IIl;congenital disorder of glycosylation Ix;bipolar ll disorder;congenital disorder of glycosylation type IIf;Parkinson's disease 22;congenital disorder of glycosylation Ik;congenital disorder of glycosylation Iaa;inflammatory bowel disease;congenital disorder of glycosylation type IIn;Parkinson's disease 14;Parkinson's disease 20;congenital disorder of glycosylation Ih;congenital disorder of glycosylation Icc;congenital disorder of glycosylation If;congenital disorder of glycosylation type IIp;Achard syndrome;congenital disorder of glycosylation Ij;Parkinson's disease 7;congenital disorder of glycosylation;Parkinson's disease 17;congenital disorder of glycosylation Im;congenital disorder of glycosylation Iu
generalized seizure,Parkinson's disease 25;congenital disorder of glycosylation Ie;Vici syndrome;congenital disorder of glycosylation type IIo;Parkinson's disease;congenital disorder of glycosylation type IIk;congenital disorder of glycosylation Ic;COVID-19;Parkinsonism;congenital disorder of glycosylation Iq;congenital disorder of glycosylation In;Adie syndrome;Parkinson's disease 23;Parkinson's disease 4;status epilepticus;Parkinson's disease 8;pelvic inflammatory disease;congenital disorder of glycosylation It;secondary Parkinson disease;Parkinson's disease 19A;congenital disorder of glycosylation Ip;Danon disease;Plica syndrome;lipoma;congenital disorder of glycosylation type IIc;prion disease;congenital disorder of glycosylation type IIj;congenital disorder of glycosylation Ii;uterine inflammatory disease;Aicardi syndrome;congenital disorder of glycosylation Ig;congenital disorder of glycosylation type IIg;congenital disorder of glycosylation type IIh;congenital disorder of glycosylation type II;congenital disorder of glycosylation type IIq;congenital disorder of glycosylation Il;Parkinson's disease 6;Parkinson's disease 2;Parkinson's disease 3;congenital disorder of glycosylation Iw;bipolar disorder;congenital disorder of glycosylation type IIi;Aicardi-Goutieres syndrome;congenital disorder of glycosylation Ib;congenital disorder of glycosylation Ir;congenital disorder of glycosylation Id;congenital disorder of glycosylation Ia;Parkinson's disease 21;congenital disorder of glycosylation type IIe;congenital disorder of glycosylation type IIa;hallucinogen abuse;congenital disorder of glycosylation type IIb;congenital disorder of glycosylation type IId;Parkinson's disease 15;congenital disorder of glycosylation type I;congenital disorder of glycosylation type IIm;bipolar I disorder;congenital disorder of glycosylation Iy;Parkinson's disease 1;epilepsy;congenital disorder of glycosylation type IIl;congenital disorder of glycosylation Ix;bipolar ll disorder;congenital disorder of glycosylation type IIf;Parkinson's disease 22;congenital disorder of glycosylation Ik;congenital disorder of glycosylation Iaa;inflammatory bowel disease;congenital disorder of glycosylation type IIn;Parkinson's disease 14;Parkinson's disease 20;congenital disorder of glycosylation Ih;congenital disorder of glycosylation Icc;congenital disorder of glycosylation If;congenital disorder of glycosylation type IIp;Achard syndrome;congenital disorder of glycosylation Ij;Parkinson's disease 7;congenital disorder of glycosylation;Parkinson's disease 17;congenital disorder of glycosylation Im;congenital disorder of glycosylation Iu
tonic-clonic seizure,Parkinson's disease;congenital disorder of glycosylation Ie;Parkinson's disease 1;congenital disorder of glycosylation Ic;hallucinogen abuse;Parkinson's disease 3;congenital disorder of glycosylation type IIj;congenital disorder of glycosylation Ih;congenital disorder of glycosylation type IIo;congenital disorder of glycosylation type IIc;Parkinsonism;congenital disorder of glycosylation Ib;Parkinson's disease 19A;Plica syndrome;congenital disorder of glycosylation type IIa;congenital disorder of glycosylation Ir;Parkinson's disease 17;congenital disorder of glycosylation Ig;congenital disorder of glycosylation Id;Parkinson's disease 14;status epilepticus;congenital disorder of glycosylation type IId;congenital disorder of glycosylation type IIf;Vici syndrome;congenital disorder of glycosylation Iu;congenital disorder of glycosylation Ip;congenital disorder of glycosylation Ii;congenital disorder of glycosylation type IIb;congenital disorder of glycosylation Ia;Parkinson's disease 21;Parkinson's disease 4;congenital disorder of glycosylation type IIn;congenital disorder of glycosylation Il;Achard syndrome;Parkinson's disease 8;congenital disorder of glycosylation It;congenital disorder of glycosylation;epilepsy;COVID-19;prion disease;Parkinson's disease 2;bipolar ll disorder;congenital disorder of glycosylation Ij;uterine inflammatory disease;congenital disorder of glycosylation Iq;bipolar I disorder;congenital disorder of glycosylation type IIp;bipolar disorder;Parkinson's disease 23;congenital disorder of glycosylation type IIk;Parkinson's disease 6;lipoma;Parkinson's disease 20;congenital disorder of glycosylation type IIl;Danon disease;congenital disorder of glycosylation type IIm;inflammatory bowel disease;Parkinson's disease 7;congenital disorder of glycosylation type I;secondary Parkinson disease;congenital disorder of glycosylation Ik;Parkinson's disease 25;congenital disorder of glycosylation Iy;Aicardi syndrome;congenital disorder of glycosylation type IIi;congenital disorder of glycosylation If;congenital disorder of glycosylation type IIq;pelvic inflammatory disease;Parkinson's disease 22;Aicardi-Goutieres syndrome;congenital disorder of glycosylation Iw;congenital disorder of glycosylation Im;Adie syndrome;congenital disorder of glycosylation Iaa;congenital disorder of glycosylation type IIg;congenital disorder of glycosylation Icc;congenital disorder of glycosylation type IIh;congenital disorder of glycosylation type II;congenital disorder of glycosylation Ix;congenital disorder of glycosylation type IIe;congenital disorder of glycosylation In;Parkinson's disease 15
epileptic seizure,Parkinson's disease;congenital disorder of glycosylation Ie;Parkinson's disease 1;congenital disorder of glycosylation Ic;hallucinogen abuse;Parkinson's disease 3;congenital disorder of glycosylation type IIj;congenital disorder of glycosylation Ih;congenital disorder of glycosylation type IIo;congenital disorder of glycosylation type IIc;Parkinsonism;congenital disorder of glycosylation Ib;Parkinson's disease 19A;Plica syndrome;congenital disorder of glycosylation type IIa;congenital disorder of glycosylation Ir;Parkinson's disease 17;congenital disorder of glycosylation Ig;congenital disorder of glycosylation Id;Parkinson's disease 14;status epilepticus;congenital disorder of glycosylation type IId;congenital disorder of glycosylation type IIf;Vici syndrome;congenital disorder of glycosylation Iu;congenital disorder of glycosylation Ip;congenital disorder of glycosylation Ii;congenital disorder of glycosylation type IIb;congenital disorder of glycosylation Ia;Parkinson's disease 21;Parkinson's disease 4;congenital disorder of glycosylation type IIn;congenital disorder of glycosylation Il;Achard syndrome;Parkinson's disease 8;congenital disorder of glycosylation It;congenital disorder of glycosylation;epilepsy;COVID-19;prion disease;Parkinson's disease 2;bipolar ll disorder;congenital disorder of glycosylation Ij;uterine inflammatory disease;congenital disorder of glycosylation Iq;bipolar I disorder;congenital disorder of glycosylation type IIp;bipolar disorder;Parkinson's disease 23;congenital disorder of glycosylation type IIk;Parkinson's disease 6;lipoma;Parkinson's disease 20;congenital disorder of glycosylation type IIl;Danon disease;congenital disorder of glycosylation type IIm;inflammatory bowel disease;Parkinson's disease 7;congenital disorder of glycosylation type I;secondary Parkinson disease;congenital disorder of glycosylation Ik;Parkinson's disease 25;congenital disorder of glycosylation Iy;Aicardi syndrome;congenital disorder of glycosylation type IIi;congenital disorder of glycosylation If;congenital disorder of glycosylation type IIq;pelvic inflammatory disease;Parkinson's disease 22;Aicardi-Goutieres syndrome;congenital disorder of glycosylation Iw;congenital disorder of glycosylation Im;Adie syndrome;congenital disorder of glycosylation Iaa;congenital disorder of glycosylation type IIg;congenital disorder of glycosylation Icc;congenital disorder of glycosylation type IIh;congenital disorder of glycosylation type II;congenital disorder of glycosylation Ix;congenital disorder of glycosylation type IIe;congenital disorder of glycosylation In;Parkinson's disease 15
simple partial seizure,otosclerosis;sclerosteosis;hypolipoproteinemia;hypothalamic disease;coenurosis;thalamic disease;status epilepticus;hypothalamic neoplasm;epilepsy
complex partial seizure,Parkinson's disease;congenital disorder of glycosylation Ie;Parkinson's disease 1;congenital disorder of glycosylation Ic;hallucinogen abuse;Parkinson's disease 3;congenital disorder of glycosylation type IIj;congenital disorder of glycosylation Ih;congenital disorder of glycosylation type IIo;congenital disorder of glycosylation type IIc;Parkinsonism;congenital disorder of glycosylation Ib;Parkinson's disease 19A;Plica syndrome;congenital disorder of glycosylation type IIa;congenital disorder of glycosylation Ir;Parkinson's disease 17;congenital disorder of glycosylation Ig;congenital disorder of glycosylation Id;Parkinson's disease 14;status epilepticus;congenital disorder of glycosylation type IId;congenital disorder of glycosylation type IIf;Vici syndrome;congenital disorder of glycosylation Iu;congenital disorder of glycosylation Ip;congenital disorder of glycosylation Ii;congenital disorder of glycosylation type IIb;congenital disorder of glycosylation Ia;Parkinson's disease 21;Parkinson's disease 4;congenital disorder of glycosylation type IIn;congenital disorder of glycosylation Il;Achard syndrome;Parkinson's disease 8;congenital disorder of glycosylation It;congenital disorder of glycosylation;epilepsy;COVID-19;prion disease;Parkinson's disease 2;bipolar ll disorder;congenital disorder of glycosylation Ij;uterine inflammatory disease;congenital disorder of glycosylation Iq;bipolar I disorder;congenital disorder of glycosylation type IIp;bipolar disorder;Parkinson's disease 23;congenital disorder of glycosylation type IIk;Parkinson's disease 6;lipoma;Parkinson's disease 20;congenital disorder of glycosylation type IIl;Danon disease;congenital disorder of glycosylation type IIm;inflammatory bowel disease;Parkinson's disease 7;congenital disorder of glycosylation type I;secondary Parkinson disease;congenital disorder of glycosylation Ik;Parkinson's disease 25;congenital disorder of glycosylation Iy;Aicardi syndrome;congenital disorder of glycosylation type IIi;congenital disorder of glycosylation If;congenital disorder of glycosylation type IIq;pelvic inflammatory disease;Parkinson's disease 22;Aicardi-Goutieres syndrome;congenital disorder of glycosylation Iw;congenital disorder of glycosylation Im;Adie syndrome;congenital disorder of glycosylation Iaa;congenital disorder of glycosylation type IIg;congenital disorder of glycosylation Icc;congenital disorder of glycosylation type IIh;congenital disorder of glycosylation type II;congenital disorder of glycosylation Ix;congenital disorder of glycosylation type IIe;congenital disorder of glycosylation In;Parkinson's disease 15
